,c6912,c6939,c6910,c6916,c6914,c6915,c6930,c6937,c6938,c6913,c7241,c7240,c7243,c7242,c7245,c7244,c6901,c6903,c6902,c6905,c6904,c6929,c6906,c6909,c6908,c6948,c6945,c6944,c6941,c6940,c6943,c6942
2017-07-03 14:25:00,152264704.0,219038515.2,219451392.0,219653734.4,149569536.0,149519564.8,219373568.0,218408550.4,218184908.8,152132812.8,151500390.4,152616960.0,151788748.8,151359488.0,152222924.8,151025254.4,3271625113.6,218787840.0,149851340.8,219020492.8,218825523.2,218734592.0,218932838.4,219115520.0,218306969.6,151617536.0,150791782.4,218398720.0,219018854.4,219742208.0,218537984.0,219062272.0
2017-07-03 14:30:00,152268800.0,219049164.8,219455488.0,219660288.0,149573632.0,149528576.0,219377664.0,218421657.6,218193920.0,152141824.0,151506944.0,152621056.0,151797760.0,151366860.8,152228659.2,151030169.6,3271643136.0,218800128.0,149868544.0,219025408.0,218832076.8,218741964.8,218947584.0,219123712.0,218312704.0,151625728.0,150798336.0,218406912.0,219023769.6,219748761.6,218542080.0,219066368.0
2017-07-03 14:35:00,152269619.2,219048345.6,219455488.0,219660288.0,149573632.0,149528576.0,219377664.0,218423296.0,218193920.0,152141824.0,151506944.0,152621056.0,151797760.0,151367680.0,152230297.6,151032627.2,3271646412.8,218800128.0,149868544.0,219025408.0,218832076.8,218742784.0,218947584.0,219123712.0,218311884.8,151624908.8,150798336.0,218406912.0,219022950.4,219750400.0,218542080.0,219066368.0
2017-07-03 14:40:00,152276992.0,219052441.6,219459584.0,219668480.0,149577728.0,149531852.8,219381760.0,218427392.0,218198016.0,152145920.0,151511040.0,152625152.0,151800217.6,151371776.0,152236032.0,151040000.0,3271654604.8,218804224.0,149872640.0,219033600.0,218836992.0,218747699.2,218954137.6,219127808.0,218316800.0,151629824.0,150802432.0,218411008.0,219029504.0,219753676.8,218550272.0,219074560.0
2017-07-03 14:45:00,152281088.0,219054080.0,219459584.0,219668480.0,149581824.0,149531852.8,219381760.0,218427392.0,218198016.0,152145920.0,151511040.0,152625971.2,151801856.0,151375872.0,152236032.0,151043276.8,3271657062.4,218804224.0,149872640.0,219033600.0,218836992.0,218750156.8,218955776.0,219127808.0,218316800.0,151629824.0,150802432.0,218411008.0,219027865.6,219754496.0,218550272.0,219075379.2
2017-07-03 14:50:00,152289280.0,219062272.0,219471872.0,219676672.0,149591654.4,149540864.0,219389952.0,218435584.0,218206208.0,152156569.6,151519232.0,152636620.8,151810048.0,151384064.0,152244224.0,151052288.0,3271674265.6,218812416.0,149880012.8,219041792.0,218844364.8,218756710.4,218963968.0,219136000.0,218329088.0,151642112.0,150810624.0,218423296.0,219037696.0,219766784.0,218558464.0,219086848.0
2017-07-03 14:55:00,152289280.0,219061452.8,219471872.0,219676672.0,149592473.6,149537587.2,219389952.0,218435584.0,218206208.0,152158208.0,151519232.0,152637440.0,151810048.0,151384064.0,152244224.0,151052288.0,3271675904.0,218812416.0,149880832.0,219041792.0,218845184.0,218759168.0,218963968.0,219136000.0,218328268.8,151642112.0,150810624.0,218423296.0,219036057.6,219766784.0,218558464.0,219086848.0
2017-07-03 15:00:00,152304844.8,219066368.0,219480064.0,219680768.0,149601484.8,149546598.4,219402240.0,218439680.0,218210304.0,152162304.0,151530700.8,152645632.0,151814144.0,151392256.0,152252416.0,151055564.8,3271683276.8,218816512.0,149884928.0,219049164.8,218853376.0,218767360.0,218972160.0,219144192.0,218336460.8,151646208.0,150817996.8,218431488.0,219057356.8,219774976.0,218566656.0,219095040.0
2017-07-03 15:05:00,152305664.0,219068006.4,219480064.0,219680768.0,149600665.6,149549056.0,219402240.0,218439680.0,218210304.0,152162304.0,151531520.0,152644812.8,151814963.2,151392256.0,152252416.0,151056384.0,3271684096.0,218818969.6,149887385.6,219049984.0,218853376.0,218766540.8,218972160.0,219144192.0,218337280.0,151646208.0,150818816.0,218431488.0,219062272.0,219774976.0,218566656.0,219095040.0
2017-07-03 15:10:00,152313856.0,219078656.0,219492352.0,219690598.4,149610496.0,149559705.6,219410432.0,218447872.0,218217676.8,152170496.0,151539712.0,152657920.0,151826432.0,151400448.0,152260608.0,151064576.0,3271696384.0,218825523.2,149896396.8,219058176.0,218861568.0,218772275.2,218980352.0,219155660.8,218345472.0,151654400.0,150827008.0,218439680.0,219068825.6,219783168.0,218574848.0,219103232.0
