,c7223,c7318,c7210,c7219
2017-06-27 04:10:00,209367040.0,205680640.0,1037729792.0,232996044.8
2017-06-27 04:15:00,209371136.0,205684736.0,1037729792.0,232996044.8
2017-06-27 04:20:00,209375232.0,205688832.0,1037733888.0,233009152.0
2017-06-27 04:25:00,209378508.8,205688832.0,1037733888.0,233009971.2
2017-06-27 04:30:00,209391616.0,205701120.0,1037746176.0,233020620.8
2017-06-27 04:35:00,209391616.0,205701120.0,1037746176.0,233021440.0
2017-06-27 04:40:00,209395712.0,205705216.0,1037758464.0,233025536.0
2017-06-27 04:45:00,209395712.0,205705216.0,1037758464.0,233025536.0
2017-06-27 04:50:00,209403904.0,205717504.0,1037766656.0,233033728.0
2017-06-27 04:55:00,209403904.0,205717504.0,1037766656.0,233033728.0
2017-06-27 05:00:00,215068672.0,211341312.0,1043393740.8,238664908.8
2017-06-27 05:05:00,215068672.0,211341312.0,1043397017.6,238665728.0
2017-06-27 05:10:00,215072768.0,211350323.2,1043402752.0,238669824.0
2017-06-27 05:15:00,215076864.0,211353600.0,1043402752.0,238671462.4
2017-06-27 05:20:00,215085056.0,211361792.0,1043410944.0,238682112.0
2017-06-27 05:25:00,215085056.0,211361792.0,1043410944.0,238682112.0
2017-06-27 05:30:00,215093248.0,211365888.0,1043419136.0,238698496.0
2017-06-27 05:35:00,215094886.4,211365888.0,1043419136.0,238698496.0
2017-06-27 05:40:00,215105536.0,211374080.0,1043427328.0,238706688.0
2017-06-27 05:45:00,215105536.0,211374080.0,1043427328.0,238706688.0
2017-06-27 05:50:00,215109632.0,211378176.0,1043431424.0,238710784.0
2017-06-27 05:55:00,215109632.0,211378176.0,1043431424.0,238710784.0
2017-06-27 06:00:00,215121920.0,211390464.0,1043442892.8,238723072.0
2017-06-27 06:05:00,215121920.0,211390464.0,1043443712.0,238723072.0
2017-06-27 06:10:00,215130112.0,211403571.2,1043451904.0,238731264.0
2017-06-27 06:15:00,215130112.0,211406848.0,1043456000.0,238731264.0
2017-06-27 06:20:00,215134208.0,211410944.0,1043460096.0,238735360.0
2017-06-27 06:25:00,215134208.0,211410944.0,1043460096.0,238735360.0
2017-06-27 06:30:00,215146496.0,211423232.0,1043468288.0,238747648.0
2017-06-27 06:35:00,215146496.0,211423232.0,1043468288.0,238747648.0
2017-06-27 06:40:00,215150592.0,211427328.0,1043472384.0,238755840.0
2017-06-27 06:45:00,215154688.0,211427328.0,1043472384.0,238755840.0
2017-06-27 06:50:00,215159603.2,211431424.0,1043476480.0,238759936.0
2017-06-27 06:55:00,191963136.0,188231680.0,713548595.2,215560192.0
2017-06-27 07:00:00,157171712.0,153446809.6,218679705.6,180772044.8
2017-06-27 07:05:00,157171712.0,153448448.0,218681344.0,180772864.0
2017-06-27 07:10:00,157188096.0,153464832.0,218693632.0,180789248.0
2017-06-27 07:15:00,157188096.0,153467289.6,218693632.0,180789248.0
2017-06-27 07:20:00,157196288.0,153477120.0,218701824.0,180797440.0
2017-06-27 07:25:00,157196288.0,153477120.0,218701824.0,180799078.4
2017-06-27 07:30:00,157208576.0,153481216.0,218710016.0,180805632.0
2017-06-27 07:35:00,157208576.0,153481216.0,218710016.0,180805632.0
2017-06-27 07:40:00,157212672.0,153485312.0,218714112.0,180809728.0
2017-06-27 07:45:00,157885235.2,154163609.6,219220377.6,181320089.6
2017-06-27 07:50:00,158064640.0,154341376.0,219565260.8,181669888.0
2017-06-27 07:55:00,158064640.0,154341376.0,219566080.0,181669888.0
2017-06-27 08:00:00,158072832.0,154345472.0,219574272.0,181673984.0
2017-06-27 08:05:00,158072832.0,154345472.0,219576729.6,181673984.0
2017-06-27 08:10:00,158081024.0,154353664.0,219586560.0,181682176.0
2017-06-27 08:15:00,158081024.0,154347110.4,219586560.0,181682176.0
2017-06-27 08:20:00,158085120.0,154349568.0,219593932.8,181686272.0
2017-06-27 08:25:00,158086758.4,154352844.8,219593932.8,181686272.0
2017-06-27 08:30:00,158097408.0,154361856.0,219598028.8,181694464.0
2017-06-27 08:35:00,158097408.0,154365952.0,219598028.8,181694464.0
2017-06-27 08:40:00,158106419.2,154374144.0,219607040.0,181706752.0
2017-06-27 08:45:00,158109696.0,154374144.0,219607859.2,181706752.0
2017-06-27 08:50:00,158113792.0,154378240.0,219618508.8,181710848.0
2017-06-27 08:55:00,158113792.0,154374963.2,219619328.0,181710848.0
2017-06-27 09:00:00,158121984.0,154387251.2,219626700.8,181719040.0
2017-06-27 09:05:00,158121984.0,154386432.0,219626700.8,181719040.0
2017-06-27 09:10:00,158126080.0,154390528.0,219631616.0,181723136.0
2017-06-27 09:15:00,158126080.0,154398720.0,219631616.0,181728870.4
