,c7223,c7318,c7210,c7219
2017-06-27 04:50:00,23436933529.6,23201134182.4,25573700403.2,25429744844.8
2017-06-27 04:55:00,23436596019.2,23201338163.2,25573845401.6,25429417984.0
2017-06-27 05:00:00,23437863321.6,23204039065.6,25574079692.8,25430852403.2
2017-06-27 05:05:00,23437669171.2,23201543782.4,25574327910.4,25430840934.4
2017-06-27 05:10:00,23437473382.4,23201769881.6,25574010060.8,25430668083.2
2017-06-27 05:15:00,23436256870.4,23201038336.0,25573769216.0,25429463040.0
2017-06-27 05:20:00,23437004800.0,23201625702.4,25573848678.4,25429916057.6
2017-06-27 05:25:00,23436919603.2,23201545420.8,25574082150.4,25429809561.6
2017-06-27 05:30:00,23437055590.4,23201125990.4,25574837452.8,25430138880.0
2017-06-27 05:35:00,23436460851.2,23201049804.8,25574616268.8,25430045491.2
2017-06-27 05:40:00,23436716441.6,23201272627.2,25574273024.0,25429778432.0
2017-06-27 05:45:00,23436111872.0,23200500121.6,25574227148.8,25429381120.0
2017-06-27 05:50:00,23436690227.2,23201057177.6,25573711052.8,25429360640.0
2017-06-27 05:55:00,23435683430.4,23200975257.6,25573371904.0,25429140275.2
2017-06-27 06:00:00,23437144064.0,23201251328.0,25574596608.0,25429105049.6
2017-06-27 06:05:00,23436830310.4,23201196441.6,25574407372.8,25428902707.2
2017-06-27 06:10:00,23436708249.6,23201325056.0,25574340198.4,25428948582.4
2017-06-27 06:15:00,23436015206.4,23201067827.2,25574563020.8,25428922368.0
2017-06-27 06:20:00,23436704153.6,23201490534.4,25574093619.2,25428919091.2
2017-06-27 06:25:00,23436922880.0,23201578188.8,25574065766.4,25428798668.8
2017-06-27 06:30:00,23436542771.2,23201950924.8,25575018496.0,25428322713.6
2017-06-27 06:35:00,23436059443.2,23202143436.8,25574776012.8,25428058112.0
2017-06-27 06:40:00,23436809830.4,23201989427.2,25574554828.8,25428531609.6
2017-06-27 06:45:00,23436480512.0,23201398784.0,25574531891.2,25428626636.8
2017-06-27 06:50:00,23437074432.0,23201810841.6,25574644940.8,25428913356.8
2017-06-27 06:55:00,23438517862.4,23202483404.8,25577008332.8,25430708224.0
2017-06-27 07:00:00,23437556121.6,23202598912.0,25575420723.2,25430731980.8
2017-06-27 07:05:00,23437279232.0,23202008268.8,25575025868.8,25430151168.0
2017-06-27 07:10:00,23437142425.6,23201970585.6,25574645760.0,25429850521.6
2017-06-27 07:15:00,23436759859.2,23201798553.6,25574461440.0,25429603123.2
2017-06-27 07:20:00,23436953190.4,23201698611.2,25574763724.8,25430136422.4
2017-06-27 07:25:00,23436884377.6,23201879654.4,25574714572.8,25429823488.0
2017-06-27 07:30:00,23436797542.4,23202102476.8,25574834176.0,25429620326.4
2017-06-27 07:35:00,23436438732.8,23202358067.2,25574187008.0,25429277081.6
2017-06-27 07:40:00,23436813107.2,23202628403.2,25574674432.0,25429526937.6
2017-06-27 07:45:00,23437162905.6,23202277785.6,25574766182.4,25429979955.2
2017-06-27 07:50:00,23437683097.6,23201880473.6,25574734233.6,25430054502.4
2017-06-27 07:55:00,23437176012.8,23201790361.6,25574352486.4,25429818572.8
2017-06-27 08:00:00,23437275955.2,23201891942.4,25574726041.6,25430183936.0
2017-06-27 08:05:00,23437230899.2,23201534771.2,25574484377.6,25429983232.0
2017-06-27 08:10:00,23436750848.0,23201698611.2,25574439321.6,25429716172.8
2017-06-27 08:15:00,23435964416.0,23201294745.6,25573831475.2,25428901068.8
2017-06-27 08:20:00,23436949913.6,23201957478.4,25574168166.4,25429659648.0
2017-06-27 08:25:00,23436791808.0,23201903411.2,25574169804.8,25429555609.6
2017-06-27 08:30:00,23437110476.8,23201933721.6,25574137036.8,25429365555.2
2017-06-27 08:35:00,23436811468.8,23201615872.0,25573824921.6,25429082931.2
2017-06-27 08:40:00,23437139148.8,23201792000.0,25573915033.6,25429653094.4
2017-06-27 08:45:00,23437016268.8,23200701644.8,25574057574.4,25429236121.6
2017-06-27 08:50:00,23437772390.4,23201432371.2,25574164889.6,25429490073.6
2017-06-27 08:55:00,23437691289.6,23201238220.8,25573856870.4,25428996915.2
2017-06-27 09:00:00,23438014873.6,23203085516.8,25574539264.0,25430074982.4
2017-06-27 09:05:00,23437750272.0,23201501184.0,25574500761.6,25430036480.0
2017-06-27 09:10:00,23437410304.0,23201817395.2,25573829836.8,25429951283.2
2017-06-27 09:15:00,23436437094.4,23201188249.6,25573009817.6,25428641382.4
