,c6912,c6939,c6910,c6916,c6914,c6915,c6930,c6937,c6938,c6913,c7241,c7240,c7243,c7242,c7245,c7244,c6901,c6903,c6902,c6905,c6904,c6929,c6906,c6909,c6908,c6948,c6945,c6944,c6941,c6940,c6943,c6942
2017-07-03 13:35:00,6179819520.0,6172229632.0,6184025292.8,6171087667.2,6165764505.6,6173081600.0,6166437888.0,6181236736.0,6165478604.8,6178544025.6,6333400678.4,6331806515.2,6327372185.6,6332816588.8,6334185472.0,6336860979.2,6137058099.2,6177682227.2,6174518476.8,6178390016.0,6174309580.8,6163311001.6,6182409011.2,6180145561.6,6176101990.4,6167572480.0,6178819276.8,6167950131.2,6168200806.4,6172963635.2,6178331852.8,6165820211.2
2017-07-03 13:40:00,6180052992.0,6172550758.4,6183945830.4,6171529216.0,6165933260.8,6173342105.6,6166710681.6,6181241651.2,6165408972.8,6178516992.0,6333705420.8,6332052275.2,6327295180.8,6332542976.0,6334152704.0,6336944537.6,6136989286.4,6177811660.8,6174494720.0,6178485043.2,6174669209.6,6163784499.2,6182442598.4,6180112793.6,6176287129.6,6167724032.0,6179436953.6,6168106598.4,6168174592.0,6173411737.6,6178480128.0,6166052864.0
2017-07-03 13:45:00,6180029235.2,6172692480.0,6183781990.4,6171581644.8,6166001254.4,6173343744.0,6166744268.8,6181396480.0,6165697331.2,6178667724.8,6333400678.4,6331950694.4,6327632691.2,6332730572.8,6334500044.8,6337206681.6,6136755814.4,6177778892.8,6174951833.6,6178562867.2,6174576640.0,6163510067.2,6182540083.2,6180686233.6,6176203571.2,6168005017.6,6207300403.2,6168045158.4,6168396595.2,6173087334.4,6178480947.2,6165917696.0
2017-07-03 13:50:00,6180219289.6,6172304998.4,6184008908.8,6171311308.8,6165925888.0,6173475635.2,6166252748.8,6181381734.4,6165535129.6,6178642329.6,6333721804.8,6331871232.0,6327397580.8,6332812492.8,6334854758.4,6337104281.6,6136824627.2,6177549516.8,6174846976.0,6178711142.4,6174784716.8,6163220070.4,6182397542.4,6180170137.6,6175946342.4,6167801856.0,6179314073.6,6168263884.8,6168055808.0,6172753920.0,6178109849.6,6165905408.0
2017-07-03 13:55:00,6179902259.2,6172122316.8,6184010547.2,6171348172.8,6166064332.8,6173320806.4,6166291251.2,6181363712.0,6165608857.6,6178466201.6,6333863526.4,6331742617.6,6327213260.8,6332580659.2,6334767104.0,6336714342.4,6136753356.8,6177434828.8,6174667571.2,6178760294.4,6174619238.4,6163113574.4,6182473728.0,6180610048.0,6176034816.0,6167554457.6,6179160064.0,6168146739.2,6168035328.0,6172512256.0,6178459648.0,6165720268.8
2017-07-03 14:00:00,6180701798.4,6173784473.6,6184737177.6,6172251750.4,6166639411.2,6174015488.0,6167385702.4,6182258278.4,6166803251.2,6178856140.8,6333739008.0,6331313356.8,6327808000.0,6333210624.0,6336425984.0,6338117632.0,6137246515.2,6178727526.4,6175499059.2,6179545907.2,6175386009.6,6164108083.2,6182812876.8,6182471270.4,6176885145.6,6168686592.0,6180605952.0,6168847155.2,6168947916.8,6173586227.2,6178811904.0,6166555852.8
2017-07-03 14:05:00,6180211916.8,6173152870.4,6184416051.2,6171466956.8,6166618931.2,6173313433.6,6166994944.0,6181548851.2,6166247833.6,6178280243.2,6333594828.8,6330970931.2,6327539302.4,6333155737.6,6336043417.6,6337198489.6,6137028608.0,6177761689.6,6175151718.4,6179056844.8,6174969036.8,6163060326.4,6182309888.0,6181943705.6,6176401817.6,6168277811.2,6179019980.8,6168376934.4,6168657100.8,6173018521.6,6178059059.2,6166214246.4
2017-07-03 14:10:00,6180102963.2,6172725248.0,6184284979.2,6171192524.8,6165836595.2,6173147955.2,6167073587.2,6181480038.4,6165783347.2,6178246656.0,6333408870.4,6330942259.2,6326985523.2,6332882944.0,6335732121.6,6337303347.2,6136894259.2,6177912422.4,6174928076.8,6179024896.0,6174954291.2,6162669568.0,6182224691.2,6181561139.2,6175977472.0,6167910809.6,6179175628.8,6168273715.2,6168494080.0,6172681830.4,6177891942.4,6166215065.6
2017-07-03 14:15:00,6180337254.4,6172771942.4,6184126873.6,6171445657.6,6166727884.8,6172998860.8,6167207936.0,6181491507.2,6166065971.2,6178603827.2,6333417881.6,6331206041.6,6327030579.2,6332800204.8,6335818956.8,6337263206.4,6136560844.8,6178190950.4,6174815846.4,6178811084.8,6174913331.2,6162789990.4,6182596608.0,6181792153.6,6176471449.6,6168569446.4,6207261081.6,6167964057.6,6168323686.4,6172399206.4,6178394931.2,6165954560.0
2017-07-03 14:20:00,6180337254.4,6172473753.6,6184158822.4,6171344896.0,6166323200.0,6173142220.8,6167156326.4,6181228544.0,6165832499.2,6178630041.6,6333637427.2,6331322368.0,6327046144.0,6332867379.2,6336306380.8,6337318912.0,6136777113.6,6178274508.8,6175412224.0,6178588262.4,6175016550.4,6162463948.8,6182434406.4,6181233459.2,6176324812.8,6168385945.6,6178936422.4,6168349081.6,6167999283.2,6172576972.8,6178186854.4,6166349414.4
