,c6913,c6631,c6630,c6628,c7124,c7120,c7119,c7121,c7122,c7123,c7116
2017-07-15 04:15:00,163876864.0,172509593.6,164429824.0,367647129.6,165471027.2,161705164.8,160944947.2,164343808.0,163179724.8,164120985.6,162168832.0
2017-07-15 04:20:00,163894886.4,172523520.0,164436377.6,367660236.8,165484134.4,161722368.0,160966246.4,164364288.0,163183820.8,164140646.4,162178662.4
2017-07-15 04:25:00,163915366.4,172524339.2,164452761.6,367675801.6,165486592.0,161728102.4,160987545.6,164365926.4,163192012.8,164145561.6,162198323.2
2017-07-15 04:30:00,163934208.0,172537446.4,164483891.2,367711027.2,165500518.4,161745305.6,161012121.6,164393779.2,163204300.8,164167680.0,162225356.8
2017-07-15 04:35:00,163947315.2,172548915.2,164487168.0,367733145.6,165502976.0,161751040.0,161021952.0,164405248.0,163209216.0,164184064.0,162235187.2
2017-07-15 04:40:00,163958784.0,172572672.0,164496998.4,367745433.6,165511987.2,161768243.2,161067008.0,164414259.2,163222323.2,164197171.2,162258124.8
2017-07-15 04:45:00,163960422.4,172579225.6,164501913.6,367749529.6,165515264.0,161773158.4,161104691.2,164425728.0,163233792.0,164207820.8,162270412.8
2017-07-15 04:50:00,163979264.0,172603801.6,164511744.0,367765913.6,165525913.6,161797734.4,161155481.6,164442112.0,163240345.6,164229120.0,162287616.0
2017-07-15 04:55:00,163991552.0,172618547.2,164519116.8,367774924.8,165533286.4,161814118.4,161171046.4,164449484.8,163250176.0,164234854.4,162305638.4
2017-07-15 05:00:00,169625190.4,178283315.2,170192896.0,373443788.8,171161190.4,167460864.0,166803046.4,170103603.2,167768064.0,169880780.8,167936819.2
2017-07-15 05:05:00,169641574.4,178304614.4,170196992.0,373456076.8,171171840.0,167475609.6,166806323.2,170115891.2,168894464.0,169885696.0,167943372.8
2017-07-15 05:10:00,169657139.2,178340659.2,170205184.0,373478195.2,171175936.0,167489536.0,166821068.8,170128179.2,168897740.8,169893888.0,167956480.0
2017-07-15 05:15:00,169664512.0,178343936.0,170211737.6,373492121.6,171180032.0,167501824.0,166834176.0,170139648.0,168901836.8,169901260.8,167971225.6
2017-07-15 05:20:00,169689088.0,178354585.6,170226483.2,373510144.0,171188224.0,167513292.8,166844825.6,170154393.6,168913305.6,169911910.4,168000716.8
