,c6913,c6631,c6630,c6628,c7124,c7120,c7119,c7121,c7122,c7123,c7116
2017-07-15 05:55:00,274.5,288.0,319.5,315.0,256.5,274.5,288.0,292.5,279.0,265.5,274.5
2017-07-15 06:00:00,256.5,306.0,324.0,306.0,256.5,283.5,274.5,270.0,270.0,247.5,288.0
2017-07-15 06:05:00,283.5,292.5,310.5,310.5,256.5,288.0,274.5,261.0,283.5,261.0,279.0
2017-07-15 06:10:00,279.0,309.6,302.4,306.0,261.0,274.5,279.0,279.0,279.0,283.5,274.5
2017-07-15 06:15:00,273.6,310.5,310.5,319.5,279.0,288.0,283.5,279.0,274.5,270.0,279.0
2017-07-15 06:20:00,265.5,306.0,324.0,310.5,270.0,277.2,295.2,291.6,280.8,255.6,273.6
2017-07-15 06:25:00,265.5,292.5,297.0,310.5,279.0,274.5,274.5,274.5,265.5,279.0,270.0
2017-07-15 06:30:00,274.5,297.0,324.0,310.5,265.5,270.0,297.0,270.0,283.5,270.0,279.0
2017-07-15 06:35:00,273.6,302.4,306.0,295.2,261.0,279.0,274.5,274.5,270.0,261.0,270.0
2017-07-15 06:40:00,270.0,310.5,310.5,310.5,266.4,280.8,270.0,273.6,284.4,266.4,259.2
2017-07-15 06:45:00,270.0,310.5,319.5,315.0,297.0,274.5,279.0,297.0,288.0,261.0,270.0
2017-07-15 06:50:00,252.0,292.5,324.0,310.5,261.0,261.0,265.5,265.5,279.0,261.0,274.5
2017-07-15 06:55:00,265.5,297.0,324.0,301.5,261.0,274.5,297.0,274.5,274.5,283.5,283.5
2017-07-15 07:00:00,273.6,306.0,324.0,316.8,261.0,274.5,288.0,279.0,274.5,252.0,279.0
2017-07-15 07:05:00,265.5,301.5,297.0,315.0,270.0,265.5,274.5,283.5,283.5,270.0,274.5
2017-07-15 07:10:00,270.0,301.5,306.0,319.5,274.5,266.4,277.2,259.2,283.5,261.0,273.6
2017-07-15 07:15:00,265.5,288.0,306.0,306.0,255.6,274.5,274.5,283.5,280.8,266.4,256.5
2017-07-15 07:20:00,274.5,301.5,297.0,306.0,256.5,274.5,270.0,265.5,274.5,274.5,274.5
2017-07-15 07:25:00,283.5,306.0,324.0,310.5,261.0,265.5,297.0,270.0,274.5,265.5,265.5
2017-07-15 07:30:00,283.5,306.0,315.0,319.5,274.5,274.5,274.5,265.5,274.5,256.5,274.5
2017-07-15 07:35:00,270.0,306.0,310.5,315.0,283.5,288.0,279.0,297.0,292.5,279.0,270.0
2017-07-15 07:40:00,265.5,291.6,309.6,298.8,270.0,274.5,274.5,261.0,288.0,283.5,270.0
2017-07-15 07:45:00,273.6,297.0,306.0,310.5,261.0,256.5,279.0,279.0,265.5,279.0,265.5
2017-07-15 07:50:00,283.5,283.5,324.0,297.0,262.8,266.4,277.2,284.4,266.4,277.2,266.4
2017-07-15 07:55:00,265.5,301.5,319.5,315.0,283.5,292.5,283.5,279.0,292.5,247.5,265.5
2017-07-15 08:00:00,261.0,310.5,324.0,310.5,270.0,256.5,274.5,279.0,283.5,274.5,256.5
2017-07-15 08:05:00,274.5,315.0,283.5,297.0,261.0,279.0,288.0,279.0,288.0,261.0,265.5
2017-07-15 08:10:00,265.5,297.0,315.0,301.5,283.5,256.5,265.5,265.5,270.0,265.5,274.5
2017-07-15 08:15:00,279.0,279.0,315.0,297.0,261.0,261.0,265.5,261.0,256.5,252.0,270.0
2017-07-15 08:20:00,288.0,301.5,310.5,319.5,279.0,270.0,288.0,292.5,288.0,265.5,279.0
2017-07-15 08:25:00,252.0,297.0,297.0,315.0,270.0,279.0,288.0,279.0,265.5,270.0,283.5
2017-07-15 08:30:00,265.5,306.0,319.5,297.0,256.5,261.0,265.5,288.0,256.5,252.0,279.0
2017-07-15 08:35:00,273.6,302.4,306.0,295.2,270.0,283.5,274.5,261.0,274.5,265.5,261.0
2017-07-15 08:40:00,274.5,297.0,297.0,315.0,261.0,274.5,288.0,279.0,292.5,270.0,274.5
2017-07-15 08:45:00,274.5,301.5,315.0,306.0,273.6,280.8,277.2,288.0,288.0,277.2,277.2
2017-07-15 08:50:00,265.5,310.5,324.0,306.0,274.5,274.5,292.5,283.5,292.5,274.5,270.0
2017-07-15 08:55:00,274.5,301.5,306.0,297.0,265.5,261.0,292.5,274.5,270.0,274.5,270.0
2017-07-15 09:00:00,288.0,310.5,306.0,315.0,265.5,274.5,283.5,274.5,274.5,283.5,279.0
2017-07-15 09:05:00,283.5,301.5,324.0,319.5,261.0,270.0,274.5,274.5,283.5,270.0,265.5
2017-07-15 09:10:00,279.0,302.4,324.0,316.8,261.0,288.0,283.5,265.5,261.0,279.0,274.5
2017-07-15 09:15:00,270.0,288.0,324.0,315.0,261.0,288.0,292.5,279.0,265.5,265.5,283.5
2017-07-15 09:20:00,288.0,297.0,324.0,306.0,259.2,280.8,284.4,288.0,291.6,270.0,280.8
2017-07-15 09:25:00,252.0,297.0,324.0,315.0,274.5,297.0,274.5,274.5,261.0,274.5,270.0
2017-07-15 09:30:00,256.5,301.5,310.5,319.5,270.0,279.0,288.0,274.5,274.5,279.0,270.0
2017-07-15 09:35:00,256.5,306.0,297.0,319.5,279.0,274.5,274.5,274.5,279.0,274.5,265.5
2017-07-15 09:40:00,256.5,306.0,310.5,324.0,288.0,283.5,288.0,261.0,274.5,270.0,256.5
2017-07-15 09:45:00,274.5,310.5,324.0,319.5,265.5,283.5,274.5,279.0,297.0,261.0,261.0
2017-07-15 09:50:00,265.5,298.8,309.6,306.0,270.0,297.0,301.5,279.0,297.0,265.5,270.0
2017-07-15 09:55:00,273.6,306.0,324.0,315.0,261.0,274.5,265.5,270.0,283.5,279.0,265.5
2017-07-15 10:00:00,279.0,292.5,324.0,292.5,266.4,266.4,277.2,280.8,291.6,255.6,259.2
2017-07-15 10:05:00,270.0,292.5,310.5,310.5,270.0,270.0,274.5,283.5,288.0,283.5,261.0
2017-07-15 10:10:00,243.0,306.0,324.0,310.5,261.0,292.5,288.0,292.5,288.0,274.5,283.5
2017-07-15 10:15:00,279.0,306.0,324.0,301.5,274.5,274.5,283.5,274.5,283.5,292.5,265.5
2017-07-15 10:20:00,270.0,301.5,306.0,315.0,274.5,292.5,279.0,279.0,283.5,279.0,279.0
2017-07-15 10:25:00,279.0,288.0,324.0,315.0,265.5,292.5,270.0,279.0,274.5,261.0,270.0
2017-07-15 10:30:00,256.5,309.6,313.2,295.2,256.5,274.5,265.5,283.5,274.5,265.5,279.0
2017-07-15 10:35:00,273.6,306.0,319.5,315.0,265.5,288.0,288.0,256.5,274.5,256.5,279.0
2017-07-15 10:40:00,256.5,297.0,319.5,315.0,259.2,266.4,266.4,280.8,280.8,266.4,248.4
2017-07-15 10:45:00,274.5,297.0,324.0,306.0,256.5,261.0,270.0,279.0,274.5,270.0,256.5
2017-07-15 10:50:00,265.5,297.0,324.0,306.0,270.0,274.5,279.0,288.0,274.5,270.0,265.5
2017-07-15 10:55:00,274.5,301.5,310.5,301.5,270.0,283.5,274.5,265.5,283.5,261.0,283.5
2017-07-15 11:00:00,265.5,288.0,306.0,324.0,274.5,265.5,279.0,292.5,274.5,256.5,274.5
2017-07-15 11:05:00,274.5,297.0,324.0,306.0,292.5,274.5,279.0,261.0,274.5,265.5,283.5
2017-07-15 11:10:00,274.5,302.4,302.4,295.2,274.5,261.0,265.5,288.0,279.0,256.5,279.0
2017-07-15 11:15:00,277.2,306.0,297.0,306.0,274.5,274.5,292.5,279.0,297.0,261.0,270.0
2017-07-15 11:20:00,261.0,297.0,310.5,310.5,283.5,288.0,277.2,279.0,270.0,261.0,270.0
2017-07-15 11:25:00,274.5,297.0,319.5,319.5,270.0,277.2,283.5,273.6,284.4,266.4,265.5
2017-07-15 11:30:00,292.5,301.5,315.0,315.0,274.5,292.5,270.0,256.5,265.5,270.0,283.5
2017-07-15 11:35:00,270.0,310.5,310.5,310.5,274.5,279.0,288.0,274.5,265.5,279.0,265.5
2017-07-15 11:40:00,256.5,283.5,324.0,301.5,270.0,288.0,279.0,283.5,265.5,274.5,274.5
2017-07-15 11:45:00,256.5,310.5,324.0,315.0,261.0,288.0,279.0,288.0,283.5,247.5,279.0
2017-07-15 11:50:00,277.2,302.4,324.0,302.4,252.0,265.5,274.5,283.5,283.5,274.5,265.5
2017-07-15 11:55:00,265.5,292.5,301.5,292.5,261.0,270.0,279.0,297.0,270.0,288.0,274.5
2017-07-15 12:00:00,252.0,288.0,324.0,319.5,262.8,273.6,280.8,280.8,280.8,262.8,270.0
2017-07-15 12:05:00,252.0,297.0,324.0,306.0,274.5,265.5,288.0,297.0,288.0,274.5,270.0
2017-07-15 12:10:00,256.5,310.5,310.5,310.5,274.5,288.0,283.5,283.5,274.5,252.0,265.5
2017-07-15 12:15:00,279.0,301.5,324.0,319.5,261.0,270.0,279.0,265.5,274.5,283.5,265.5
2017-07-15 12:20:00,274.5,306.0,310.5,306.0,274.5,274.5,297.0,288.0,283.5,265.5,265.5
2017-07-15 12:25:00,265.5,288.0,313.2,313.2,265.5,265.5,274.5,283.5,288.0,274.5,283.5
2017-07-15 12:30:00,273.6,297.0,310.5,310.5,265.5,279.0,279.0,283.5,283.5,270.0,256.5
2017-07-15 12:35:00,270.0,310.5,297.0,301.5,256.5,274.5,279.0,283.5,274.5,265.5,279.0
2017-07-15 12:40:00,270.0,315.0,297.0,306.0,259.2,280.8,291.6,280.8,284.4,262.8,280.8
2017-07-15 12:45:00,274.5,306.0,324.0,324.0,270.0,279.0,297.0,274.5,297.0,270.0,270.0
2017-07-15 12:50:00,265.5,306.0,310.5,306.0,265.5,292.5,274.5,279.0,270.0,256.5,279.0
2017-07-15 12:55:00,265.5,310.5,310.5,306.0,256.5,279.0,279.0,261.0,265.5,256.5,265.5
