,c6643,c6947
2017-06-29 10:15:00,4165404262.4,4218377011.2
2017-06-29 10:20:00,4167476019.2,4211704627.2
2017-06-29 10:25:00,4169897574.4,4212946534.4
2017-06-29 10:30:00,4168212480.0,4219715584.0
2017-06-29 10:35:00,4165057740.8,4214889676.8
2017-06-29 10:40:00,4166217728.0,4211471974.4
2017-06-29 10:45:00,4165632000.0,4214459596.8
2017-06-29 10:50:00,4163013017.6,4213500313.6
2017-06-29 10:55:00,4162310963.2,4216614092.8
2017-06-29 11:00:00,4165307596.8,4211436748.8
2017-06-29 11:05:00,4159337267.2,4215763763.2
2017-06-29 11:10:00,4165030707.2,4220743680.0
2017-06-29 11:15:00,4161523712.0,4215182131.2
2017-06-29 11:20:00,4168613888.0,4217008947.2
2017-06-29 11:25:00,4167997849.6,4213633024.0
2017-06-29 11:30:00,4197777408.0,4237999308.8
2017-06-29 11:35:00,4165989171.2,4214262169.6
2017-06-29 11:40:00,4169542860.8,4218943897.6
2017-06-29 11:45:00,4167652147.2,4218221363.2
2017-06-29 11:50:00,4170080256.0,4217312870.4
2017-06-29 11:55:00,4161107558.4,4212112588.8
2017-06-29 12:00:00,4165671321.6,4218208256.0
2017-06-29 12:05:00,4160643072.0,4212163379.2
2017-06-29 12:10:00,4165949030.4,4219221606.4
2017-06-29 12:15:00,4165305958.4,4217109708.8
2017-06-29 12:20:00,4167791411.2,4213429043.2
2017-06-29 12:25:00,4168935833.6,4216368332.8
2017-06-29 12:30:00,4168394342.4,4218656358.4
2017-06-29 12:35:00,4165200281.6,4211446579.2
2017-06-29 12:40:00,4166773964.8,4213732966.4
2017-06-29 12:45:00,4166243123.2,4212300185.6
2017-06-29 12:50:00,4168746598.4,4221048422.4
2017-06-29 12:55:00,4162013593.6,4216549376.0
2017-06-29 13:00:00,4170371891.2,4212370636.8
2017-06-29 13:05:00,4166875545.6,4220054732.8
2017-06-29 13:10:00,4166030131.2,4216963891.2
2017-06-29 13:15:00,4168572928.0,4221555507.2
2017-06-29 13:20:00,4165761433.6,4217067929.6
2017-06-29 13:25:00,4169447833.6,4218320486.4
2017-06-29 13:30:00,4164842291.2,4217464422.4
2017-06-29 13:35:00,4169864806.4,4211291750.4
2017-06-29 13:40:00,4166873907.2,4203039129.6
2017-06-29 13:45:00,4168951398.4,4212250214.4
2017-06-29 13:50:00,4162940928.0,4210878873.6
2017-06-29 13:55:00,4168637644.8,4211485900.8
2017-06-29 14:00:00,4163807641.6,4214958489.6
2017-06-29 14:05:00,4165532057.6,4211512115.2
2017-06-29 14:10:00,4166085836.8,4213719859.2
2017-06-29 14:15:00,4162219212.8,4218090291.2
2017-06-29 14:20:00,4167750451.2,4217518489.6
2017-06-29 14:25:00,4168052736.0,4210447155.2
2017-06-29 14:30:00,4167080345.6,4213403648.0
2017-06-29 14:35:00,4162931097.6,4212649984.0
2017-06-29 14:40:00,4159995904.0,4210302976.0
2017-06-29 14:45:00,4171028889.6,4215667916.8
2017-06-29 14:50:00,4165948211.2,4215126425.6
2017-06-29 14:55:00,4164210688.0,4216545280.0
2017-06-29 15:00:00,4166261145.6,4217029427.2
2017-06-29 15:05:00,4166044876.8,4219215052.8
2017-06-29 15:10:00,4171251712.0,4214106521.6
2017-06-29 15:15:00,4161671987.2,4215504076.8
2017-06-29 15:20:00,4168201011.2,4212586905.6
2017-06-29 15:25:00,4164620288.0,4219065958.4
2017-06-29 15:30:00,4163624140.8,4219113472.0
2017-06-29 15:35:00,4164891443.2,4218875904.0
2017-06-29 15:40:00,4167296614.4,4216904089.6
2017-06-29 15:45:00,4165114265.6,4220672409.6
2017-06-29 15:50:00,4165236326.4,4215265689.6
2017-06-29 15:55:00,4155627929.6,4215960371.2
2017-06-29 16:00:00,4167729971.2,4218194329.6
2017-06-29 16:05:00,4162115993.6,4214316236.8
2017-06-29 16:10:00,4161727692.8,4211554713.6
2017-06-29 16:15:00,4168964505.6,4214687334.4
2017-06-29 16:20:00,4171781734.4,4220193996.8
2017-06-29 16:25:00,4167561216.0,4214824960.0
2017-06-29 16:30:00,4164543283.2,4211942195.2
2017-06-29 16:35:00,4169612492.8,4208897228.8
2017-06-29 16:40:00,4168280473.6,4222208409.6
2017-06-29 16:45:00,4162300313.6,4216450252.8
2017-06-29 16:50:00,4169592012.8,4213510144.0
2017-06-29 16:55:00,4167127859.2,4219541913.6
2017-06-29 17:00:00,4168502476.8,4220230041.6
2017-06-29 17:05:00,4167532544.0,4220006400.0
2017-06-29 17:10:00,4166583091.2,4218295910.4
2017-06-29 17:15:00,4161989017.6,4212900659.2
2017-06-29 17:20:00,4169841868.8,4215073177.6
2017-06-29 17:25:00,4168481996.8,4210162073.6
2017-06-29 17:30:00,4169259417.6,4211812761.6
2017-06-29 17:35:00,4163135897.6,4208676044.8
2017-06-29 17:40:00,4164502323.2,4221195878.4
2017-06-29 17:45:00,4166564249.6,4216714035.2
2017-06-29 17:50:00,4166311116.8,4215067443.2
2017-06-29 17:55:00,4166614220.8,4214915072.0
2017-06-29 18:00:00,4168255897.6,4219176550.4
2017-06-29 18:05:00,4170221977.6,4216351129.6
2017-06-29 18:10:00,4167872512.0,4216424038.4
2017-06-29 18:15:00,4167723417.6,4221960192.0
2017-06-29 18:20:00,4165396889.6,4208488448.0
2017-06-29 18:25:00,4167571865.6,4212426342.4
2017-06-29 18:30:00,4169127526.4,4218172211.2
2017-06-29 18:35:00,4170917478.4,4213588787.2
2017-06-29 18:40:00,4164354867.2,4216002969.6
2017-06-29 18:45:00,4166291456.0,4214507929.6
2017-06-29 18:50:00,4166032588.8,4213723955.2
2017-06-29 18:55:00,4165027430.4,4217394790.4
2017-06-29 19:00:00,4168098611.2,4218295091.2
2017-06-29 19:05:00,4165020876.8,4215160832.0
2017-06-29 19:10:00,4159800934.4,4220754329.6
2017-06-29 19:15:00,4167849574.4,4218039500.8
2017-06-29 19:20:00,4168028979.2,4217925632.0
2017-06-29 19:25:00,4163250585.6,4215305011.2
