,c6913,c6631,c6630,c6628,c7124,c7120,c7119,c7121,c7122,c7123,c7116
2017-07-15 07:35:00,66.5,69.0,68.5,66.25,60.5,62.5,64.75,67.0,64.25,65.25,65.25
2017-07-15 07:40:00,66.5,69.8,69.2,66.6,60.75,62.0,65.5,66.5,64.25,65.75,65.5
2017-07-15 07:45:00,66.2,70.25,69.0,66.25,60.25,62.5,64.25,66.75,63.75,65.25,64.25
2017-07-15 07:50:00,66.5,69.75,69.25,66.5,60.6,62.6,65.0,66.8,63.8,65.4,64.6
2017-07-15 07:55:00,67.0,69.75,68.75,66.0,60.75,61.75,65.0,66.25,63.75,65.75,64.75
2017-07-15 08:00:00,66.5,70.25,68.5,66.75,60.25,62.5,65.5,66.75,64.5,65.75,64.75
2017-07-15 08:05:00,66.25,68.5,67.0,66.25,59.5,61.5,64.25,66.0,63.25,64.5,64.25
2017-07-15 08:10:00,65.25,70.25,68.75,67.0,58.75,60.0,62.75,64.0,62.5,63.75,61.75
2017-07-15 08:15:00,66.0,70.5,68.5,66.25,58.75,61.0,63.0,64.75,62.5,64.0,63.0
2017-07-15 08:20:00,65.75,70.0,69.0,67.0,59.75,61.5,63.25,65.25,62.5,64.25,63.25
2017-07-15 08:25:00,65.5,70.5,68.0,66.75,59.75,61.0,63.5,64.75,62.75,64.75,63.25
2017-07-15 08:30:00,66.25,71.0,68.5,67.0,59.75,61.0,63.5,64.75,62.75,64.25,63.0
2017-07-15 08:35:00,66.2,68.8,67.8,65.8,59.5,61.5,63.25,65.0,62.5,64.75,63.5
2017-07-15 08:40:00,66.25,69.5,67.75,66.0,59.75,61.0,63.5,65.0,62.75,65.0,63.25
2017-07-15 08:45:00,66.0,70.25,68.25,66.25,59.8,61.4,63.6,65.6,62.8,65.0,63.2
2017-07-15 08:50:00,66.5,70.25,69.0,66.75,60.0,61.5,63.25,65.5,63.0,64.75,63.25
2017-07-15 08:55:00,66.75,70.0,68.5,66.0,60.0,60.75,63.5,65.25,63.0,64.5,63.0
2017-07-15 09:00:00,66.5,69.5,67.75,66.5,59.75,61.25,63.75,65.25,62.75,64.5,63.25
2017-07-15 09:05:00,66.25,70.5,68.5,66.75,60.0,61.0,63.75,66.25,63.0,64.75,63.5
2017-07-15 09:10:00,66.0,69.4,68.2,65.6,60.0,61.5,64.25,65.5,62.75,64.75,64.25
2017-07-15 09:15:00,66.4,69.0,68.0,65.0,60.75,62.5,65.25,66.0,63.5,66.0,65.25
2017-07-15 09:20:00,66.0,69.5,68.0,65.5,61.2,63.0,65.2,66.6,64.0,66.0,64.8
2017-07-15 09:25:00,66.0,69.25,68.25,66.25,61.0,62.25,64.5,66.25,63.5,66.0,65.25
2017-07-15 09:30:00,66.5,70.25,68.75,66.0,60.75,62.5,65.25,66.25,63.75,66.0,64.75
2017-07-15 09:35:00,67.5,70.0,68.25,66.0,60.25,62.5,64.75,66.25,63.75,65.75,64.75
2017-07-15 09:40:00,66.5,69.75,68.5,66.25,60.5,62.25,65.0,66.0,64.0,65.75,64.25
2017-07-15 09:45:00,66.25,69.75,68.25,65.75,60.5,62.5,64.25,66.0,63.75,65.25,64.75
2017-07-15 09:50:00,67.25,69.2,67.6,65.8,60.75,62.75,65.0,66.75,63.75,65.5,65.0
2017-07-15 09:55:00,65.8,69.5,68.5,66.0,61.0,62.5,64.75,66.75,63.75,65.75,64.25
2017-07-15 10:00:00,66.5,70.25,68.25,66.0,60.6,61.8,64.2,65.4,63.6,65.2,64.4
2017-07-15 10:05:00,66.75,70.0,69.0,66.5,60.5,62.75,65.25,66.25,63.75,65.75,65.5
2017-07-15 10:10:00,66.75,70.25,69.0,66.25,60.5,62.5,65.5,66.25,63.75,65.75,65.75
2017-07-15 10:15:00,66.75,68.75,68.25,66.0,60.5,62.5,65.0,66.5,63.75,65.75,64.5
2017-07-15 10:20:00,66.75,69.75,68.5,66.0,60.25,62.75,64.5,66.5,63.75,65.5,64.75
2017-07-15 10:25:00,66.5,69.5,68.0,66.0,60.25,62.5,64.75,66.5,63.75,65.25,64.75
2017-07-15 10:30:00,66.75,70.4,68.8,66.2,60.75,62.25,65.0,66.25,64.0,65.0,65.0
2017-07-15 10:35:00,66.8,70.25,68.5,66.25,60.75,62.5,65.5,66.5,64.0,64.75,64.5
2017-07-15 10:40:00,66.25,69.75,68.25,66.0,60.6,62.4,64.8,66.8,64.2,65.0,64.8
2017-07-15 10:45:00,67.5,70.0,69.0,66.5,60.5,62.25,64.5,66.5,64.0,64.75,64.0
2017-07-15 10:50:00,66.5,69.5,68.5,66.0,60.25,62.25,64.75,66.25,64.0,65.0,64.75
2017-07-15 10:55:00,67.0,69.25,68.5,66.25,60.75,61.75,64.25,66.25,64.0,65.0,64.25
2017-07-15 11:00:00,67.25,69.5,67.75,65.75,60.5,61.75,64.5,66.0,63.75,64.75,64.25
2017-07-15 11:05:00,66.75,69.25,69.25,67.0,60.75,62.25,64.25,66.0,64.0,65.0,64.5
2017-07-15 11:10:00,67.0,69.4,68.4,66.6,60.5,62.5,64.75,66.5,64.0,65.0,65.25
2017-07-15 11:15:00,66.4,70.0,69.25,66.0,60.25,62.0,64.25,66.5,63.75,65.25,64.5
