,c6643,c6947
2017-06-29 17:35:00,319.5,297.0
2017-06-29 17:40:00,316.8,302.4
2017-06-29 17:45:00,319.5,292.5
2017-06-29 17:50:00,310.5,297.0
2017-06-29 17:55:00,315.0,283.5
2017-06-29 18:00:00,301.5,301.5
2017-06-29 18:05:00,301.5,283.5
2017-06-29 18:10:00,315.0,288.0
2017-06-29 18:15:00,310.5,301.5
2017-06-29 18:20:00,292.5,292.5
2017-06-29 18:25:00,301.5,297.0
2017-06-29 18:30:00,309.6,302.4
2017-06-29 18:35:00,301.5,297.0
2017-06-29 18:40:00,315.0,306.0
2017-06-29 18:45:00,315.0,301.5
2017-06-29 18:50:00,324.0,297.0
2017-06-29 18:55:00,319.5,301.5
2017-06-29 19:00:00,313.2,301.5
2017-06-29 19:05:00,301.5,295.2
2017-06-29 19:10:00,315.0,301.5
2017-06-29 19:15:00,306.0,301.5
2017-06-29 19:20:00,310.5,306.0
2017-06-29 19:25:00,310.5,301.5
2017-06-29 19:30:00,315.0,291.6
2017-06-29 19:35:00,315.0,274.5
2017-06-29 19:40:00,306.0,306.0
2017-06-29 19:45:00,315.0,297.0
2017-06-29 19:50:00,306.0,292.5
2017-06-29 19:55:00,319.5,288.0
2017-06-29 20:00:00,310.5,283.5
2017-06-29 20:05:00,315.0,288.0
2017-06-29 20:10:00,306.0,295.2
2017-06-29 20:15:00,319.5,292.5
2017-06-29 20:20:00,297.0,297.0
2017-06-29 20:25:00,319.5,283.5
2017-06-29 20:30:00,312.0,300.0
2017-06-29 20:35:00,319.5,283.5
2017-06-29 20:40:00,310.5,283.5
2017-06-29 20:45:00,320.4,306.0
2017-06-29 20:50:00,324.0,306.0
2017-06-29 20:55:00,324.0,288.0
2017-06-29 21:00:00,310.5,301.5
2017-06-29 21:05:00,324.0,292.5
2017-06-29 21:10:00,306.0,292.5
2017-06-29 21:15:00,319.5,306.0
2017-06-29 21:20:00,309.6,288.0
2017-06-29 21:25:00,306.0,279.0
2017-06-29 21:30:00,306.0,292.5
2017-06-29 21:35:00,319.5,288.0
2017-06-29 21:40:00,319.5,292.5
2017-06-29 21:45:00,301.5,301.5
2017-06-29 21:50:00,310.5,283.5
